id,title,year,rating,votes,budget,gross_world_wide,gross_us_canada,opening_weekend_gross,genres,production_companies,wins,nominations,oscars
tt1502397,Bad Boys for Life,2020,6.5,187K,90000000.0,426505244.0,206305244.0,62504105.0,"['Buddy Cop', 'Cop Drama', 'Action', 'Comedy', 'Crime', 'Thriller']","['Columbia Pictures', '2.0 Entertainment', 'Don Simpson/Jerry Bruckheimer Films']",0,15,0
tt8332922,A Quiet Place Part II,2020,7.2,296K,61000000.0,297372261.0,160072261.0,47547231.0,"['Alien Invasion', 'Monster Horror', 'Supernatural Horror', 'Drama', 'Horror', 'Sci-Fi', 'Thriller']","['Paramount Pictures', 'Platinum Dunes', 'Sunday Night']",0,44,1
tt3794354,Sonic the Hedgehog,2020,6.5,171K,85000000.0,319715683.0,148974665.0,58018348.0,"['Animal Adventure', 'Buddy Comedy', 'Road Trip', 'Slapstick', 'Superhero', 'Supernatural Fantasy', 'Action', 'Adventure', 'Comedy', 'Family']","['Paramount Pictures', 'Sega Sammy Group', 'Original Film']",0,12,0
tt7713068,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,6.1,271K,84500000.0,205537933.0,84172791.0,33010017.0,"['Dark Comedy', 'Superhero', 'Action', 'Comedy', 'Crime']","['Clubhouse Pictures (II)', 'DC Entertainment', 'Kroll & Co. Entertainment']",0,83,0
tt6673612,Dolittle,2020,5.6,73K,175000000.0,251410631.0,77047065.0,21844045.0,"['Animal Adventure', 'Quest', 'Adventure', 'Comedy', 'Family', 'Fantasy']","['Universal Pictures', 'Perfect World Pictures', 'Roth/Kirschenbaum Films']",0,9,0
tt1051906,The Invisible Man,2020,7.1,266K,7000000.0,144492724.0,70410000.0,28205665.0,"['Psychological Horror', 'Psychological Thriller', 'Suspense Mystery', 'Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']","['Universal Pictures', 'Blumhouse Productions', 'Goalpost Pictures']",0,85,0
tt7504726,The Call of the Wild,2020,6.7,60K,135000000.0,111166669.0,62342368.0,24791624.0,"['Adventure Epic', 'Animal Adventure', 'Mountain Adventure', 'Quest', 'Survival', 'Adventure', 'Drama', 'Family']","['20th Century Studios', 'TSG Entertainment', '3 Arts Entertainment']",0,8,0
tt7146812,Onward,2020,7.4,176K,175000000.0,141940042.0,61555145.0,39119861.0,"['Adventure Epic', 'Computer Animation', 'Epic', 'Fantasy Epic', 'Quest', 'Supernatural Fantasy', 'Sword & Sorcery', 'Adventure', 'Animation', 'Comedy']","['Walt Disney Pictures', 'Pixar Animation Studios']",0,66,1
tt2850386,The Croods: A New Age,2020,6.9,56K,65000000.0,215905815.0,58568815.0,9724200.0,"['Computer Animation', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['DreamWorks Animation', 'Dentsu']",0,0,0
tt6723592,Tenet,2020,7.3,617K,205000000.0,365304105.0,58504105.0,9353090.0,"['Time Travel', 'Action', 'Sci-Fi', 'Thriller']","['Warner Bros.', 'Syncopy', 'Warner Bros.']",0,136,0
tt11032374,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2,80K,15000000.0,473230408.0,49505008.0,21234994.0,"['Adult Animation', 'Anime', 'Dark Fantasy', 'Shōnen', 'Superhero', 'Supernatural Fantasy', 'Sword & Sorcery', 'Action', 'Adventure', 'Animation']","['Shueisha', 'Aniplex', 'Ufotable']",0,6,0
tt7126948,Wonder Woman 1984,2020,5.4,298K,200000000.0,169601036.0,46801036.0,16701957.0,"['Superhero', 'Action', 'Adventure', 'Fantasy', 'Holiday']","['Atlas Entertainment', 'DC Entertainment', 'The Stone Quarry']",0,48,0
tt0983946,Fantasy Island,2020,4.9,61K,7000000.0,49447308.0,27309289.0,12310420.0,"['Supernatural Horror', 'Suspense Mystery', 'Fantasy', 'Horror', 'Mystery']","['Columbia Pictures', 'Blumhouse Productions', 'Tower of Babble Entertainment']",0,0,0
tt4682266,The New Mutants,2020,5.3,94K,67000000.0,49169594.0,23852659.0,7037017.0,"['Psychological Horror', 'Superhero', 'Teen Horror', 'Action', 'Horror', 'Mystery', 'Sci-Fi']","['20th Century Studios', 'Marvel Entertainment', 'Kinberg Genre']",0,0,0
tt7545266,Like a Boss,2020,4.7,16K,29000000.0,30399490.0,22169514.0,10011272.0,['Comedy'],"['Artists First', 'Paramount Pictures']",0,5,0
tt10059518,Unhinged,2020,6.0,81K,33000000.0,44331465.0,20831465.0,601032.0,"['Car Action', 'Psychological Thriller', 'Action', 'Thriller']","['Burek Films', 'Ingenious', 'Solstice Studios']",0,0,0
tt7798646,The Photograph,2020,6.1,6.3K,16000000.0,20690779.0,20578185.0,12181865.0,"['Drama', 'Romance']","['Perfect World Pictures', 'Will Packer Productions']",0,3,0
tt5774060,Underwater,2020,5.9,101K,80000000.0,40882928.0,17291078.0,7008297.0,"['Disaster', 'Psychological Thriller', 'Sea Adventure', 'Action', 'Horror', 'Sci-Fi', 'Thriller']","['Chernin Entertainment', 'TSG Entertainment', 'Twentieth Century Fox']",0,5,0
tt7510346,The Turning,2020,3.9,17K,14000000.0,19428166.0,15472775.0,6950045.0,"['Drama', 'Horror', 'Mystery']","['Dreamworks Pictures', 'Reliance Entertainment', 'Chislehurst Entertainment Productions']",0,0,0
tt9086228,Gretel & Hansel,2020,5.5,36K,5000000.0,22304357.0,15347654.0,6154007.0,"['Fairy Tale', 'Folk Horror', 'Witch Horror', 'Fantasy', 'Horror', 'Mystery', 'Thriller']","['Orion Pictures', 'BRON Studios', 'Automatik Entertainment']",0,16,0
tt6475714,Monster Hunter,2020,5.2,70K,60000000.0,42145959.0,15162470.0,2201269.0,"['Dark Fantasy', 'Action', 'Adventure', 'Fantasy']","['Constantin Film', 'Impact Pictures', 'Capcom Company']",0,0,0
tt6878306,News of the World,2020,6.8,97K,38000000.0,12668325.0,12668325.0,2250430.0,"['Quest', 'Action', 'Adventure', 'Drama', 'Western']","['Perfect World Pictures', 'Playtone', 'Pretty Pictures']",0,80,4
tt9173418,Brahms: The Boy II,2020,4.7,21K,10000000.0,20311536.0,12611536.0,5823006.0,"['Drama', 'Horror', 'Mystery', 'Thriller']","['STX Films', 'Lakeshore Entertainment', 'Huayi Brothers Media']",0,2,0
tt1634106,Bloodshot,2020,5.7,87K,45000000.0,39861118.0,12561824.0,9176695.0,"['Superhero', 'Action', 'Adventure', 'Sci-Fi']","['Columbia Pictures', 'Bona Film Group', 'Annabell Pictures']",0,7,0
tt9208444,Impractical Jokers: The Movie,2020,5.7,7.5K,3000000.0,10691091.0,10691091.0,2607049.0,['Comedy'],"['Funny or Die', 'truTV']",0,0,0
tt9214832,Emma.,2020,6.7,66K,10000000.0,25932444.0,10055355.0,234482.0,"['Coming-of-Age', 'Costume Drama', 'Feel-Good Romance', 'Period Drama', 'Romantic Comedy', 'Comedy', 'Drama', 'Romance']","['Working Title Films', 'Blueprint Pictures', 'Focus Features']",0,61,2
tt9779516,I Still Believe,2020,6.5,14K,12000000.0,16069730.0,9868521.0,9103614.0,"['Biography', 'Drama', 'Music', 'Romance']","['Kevin Downes Productions', 'Kingdom Story Company']",0,2,0
tt10919380,Freaky,2020,6.3,76K,5000000.0,18073433.0,9030855.0,3600355.0,"['Body Swap Comedy', 'Dark Comedy', 'Slasher Horror', 'Supernatural Horror', 'Teen Comedy', 'Teen Horror', 'Comedy', 'Horror', 'Thriller']","['Universal Pictures', 'Blumhouse Productions', 'Divide/Conquer']",0,18,0
tt8244784,The Hunt,2020,6.6,139K,14000000.0,10550350.0,5812500.0,5304455.0,"['Dark Comedy', 'Slasher Horror', 'Action', 'Horror', 'Thriller']","['Blumhouse Productions', 'Dentsu', 'Perfect World Pictures']",0,5,0
tt7134096,The Rhythm Section,2020,5.4,20K,50000000.0,5989583.0,5437971.0,2715384.0,"['One-Person Army Action', 'Tragedy', 'Action', 'Drama', 'Mystery', 'Thriller']","['Paramount Pictures', 'Global Road Entertainment', 'TMP Films']",0,3,0
tt4823776,The SpongeBob Movie: Sponge on the Run,2020,5.9,23K,60000000.0,4810790.0,4810790.0,865824.0,"['Computer Animation', 'Quest', 'Road Trip', 'Sea Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['Paramount Animation', 'Nickelodeon Movies', 'Media Rights Capital (MRC)']",0,0,0
tt9770150,Nomadland,2020,7.3,190K,5000000.0,39458207.0,3700000.0,503000.0,"['Road Trip', 'Tragedy', 'Drama']","['Searchlight Pictures', 'Cor Cordium', 'Hear/Say Productions']",0,156,0
tt10633456,Minari,2020,7.4,102K,2000000.0,15288578.0,3110580.0,193460.0,"['Docudrama', 'Drama']","['A24', 'Plan B Entertainment']",0,245,0
tt8976664,My Boyfriend's Meds,2020,4.6,516,3300000.0,6292780.0,2971116.0,1396140.0,['Comedy'],"['Pantelion Films', 'Fuego Films', 'Traziende Films']",0,0,0
tt10003008,The Rental,2020,5.7,41K,3500000.0,4311042.0,1637548.0,403852.0,"['Psychological Drama', 'Psychological Thriller', 'Suspense Mystery', 'Drama', 'Horror', 'Mystery', 'Thriller']",['Black Bear'],0,0,0
tt5616176,2 Hearts,2020,6.3,10K,15000000.0,1349286.0,1349286.0,522937.0,"['Feel-Good Romance', 'Drama', 'Romance']",['Silver Lion Films'],0,0,0
tt8850222,Peninsula,2020,5.5,40K,16000000.0,42698327.0,1231407.0,118647.0,"['Zombie Horror', 'Action', 'Horror', 'Thriller']","['Next Entertainment World (NEW)', 'RedPeter Film']",0,20,0
tt2222042,Love and Monsters,2020,6.9,150K,30000000.0,1070714.0,1070714.0,270302.0,"['Dystopian Sci-Fi', 'Quest', 'Teen Comedy', 'Teen Fantasy', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']","['Paramount Pictures', 'Entertainment One', '21 Laps Entertainment']",0,4,1
tt8461224,The Tax Collector,2020,4.8,16K,20000000.0,1325781.0,1044212.0,309694.0,"['Gangster', 'Action', 'Crime', 'Drama', 'Thriller']","['Cedar Park Entertainment', 'Cross Creek Pictures', 'Double Infinity Productions']",0,0,0
tt8305852,All My Life,2020,6.3,6.4K,25000000.0,1965113.0,913935.0,370315.0,"['Tragic Romance', 'Drama', 'Romance']","['Universal Pictures', 'Broken Road Productions', 'Perfect World Pictures']",0,0,0
tt3547306,Cut Throat City,2020,4.9,3.2K,6500000.0,864928.0,855894.0,243379.0,"['Action', 'Crime', 'Drama', 'Thriller']","['Rumble Riot Pictures', 'Patriot Pictures']",0,0,0
tt10773090,Sarileru Neekevvaru,2020,5.8,9.3K,260.0,37389889.0,821000.0,821000.0,"['Action', 'Comedy', 'Drama']","['AK Entertainments', 'G. Mahesh Babu Entertainment', 'Sri Venkateswara Creations']",0,17,0
tt8366590,Baaghi 3,2020,2.2,14K,550000000.0,16726510.0,721439.0,509616.0,"['One-Person Army Action', 'Action']","['Fox Star Studios', 'Nadiadwala Grandson Entertainment']",0,0,0
tt9735462,Aline,2020,6.3,3.5K,23000000.0,11149943.0,667815.0,164087.0,"['Biography', 'Comedy', 'Drama', 'Music']","['Rectangle Productions', 'Gaumont', 'TF1 Films Production']",0,19,0
tt8960138,Shortcut,2020,4.1,1.9K,1200000.0,600734.0,588869.0,243508.0,"['Adventure', 'Fantasy', 'Horror']","['Play Entertainment', 'Camaleo', 'Star Mountain Pictures']",0,0,0
tt7711170,Alone,2020,6.2,32K,750000.0,642502.0,537589.0,182473.0,"['Psychological Drama', 'Psychological Thriller', 'Drama', 'Mystery', 'Thriller']","['Paperclip Limited', 'Mill House Motion Pictures', 'XYZfilms']",0,2,0
tt12971924,The Call,2020,4.2,5.3K,1500000.0,1591194.0,516521.0,138237.0,"['Horror', 'Mystery', 'Thriller']","['Single Malt Productions', 'Appreciated Films', 'BondIt Media Capital']",0,0,0
tt13327144,The Forgotten Carols,2020,8.4,84,300000.0,502252.0,502252.0,104798.0,['Musical'],['Shining Star Entertainment'],0,0,0
tt7294150,The Eight Hundred,2020,6.7,7.7K,80000000.0,461421559.0,372755.0,118161.0,"['War Epic', 'History', 'War']","['Huayi Brothers Media', 'The Seventh Art Pictures', 'Tencent Pictures']",0,40,0
tt12311866,Children of the Corn,2020,3.7,4.8K,10000000.0,575179.0,325583.0,263128.0,"['Slasher Horror', 'Supernatural Horror', 'Horror']","['ANVL Entertainment', 'Angel Oak Films', 'Cinemation Studios']",0,0,0
tt7544954,Always and Forever,2020,4.2,665,4000000.0,302335.0,197464.0,12361.0,['Thriller'],"['Footage Films', 'Novus Content']",0,0,0
tt11140488,The Wolf of Snow Hollow,2020,6.2,26K,2000000.0,266963.0,185026.0,91943.0,"['Dark Comedy', 'Satire', 'Werewolf Horror', 'Whodunnit', 'Comedy', 'Horror', 'Mystery', 'Thriller']","['Orion Classics', 'New Form', 'Vanishing Angle']",0,0,0
tt7983894,Ammonite,2020,6.5,25K,10000000.0,1109287.0,160930.0,87552.0,"['Period Drama', 'Steamy Romance', 'Drama', 'History', 'Romance']","['BBC Film', 'British Film Institute (BFI)', 'Cross City Films']",0,33,1
tt9691136,Shadow in the Cloud,2020,5.0,32K,10000000.0,1054290.0,156932.0,39117.0,"['Monster Horror', 'Action', 'Horror', 'War']","['Fifth Season', 'Rhea Films (II)', 'Hercules Film Fund']",0,0,0
tt11013434,"My Donkey, My Lover & I",2020,6.5,4.1K,3570000.0,7974769.0,152184.0,37188.0,"['Romantic Comedy', 'Screwball Comedy', 'Adventure', 'Comedy', 'Romance']","['Chapka Films', 'La Filmerie', 'France 3 Cinéma']",0,11,0
tt2420124,Wendy,2020,5.7,3.8K,6000000.0,235016.0,143518.0,26214.0,"['Drama', 'Fantasy', 'Thriller']","['Searchlight Pictures', 'TSG Entertainment', 'Department of Motion Pictures']",0,0,0
tt11190652,The Rose Maker,2020,6.4,1.3K,5979175.0,2876321.0,119160.0,8409.0,"['Quirky Comedy', 'Workplace Drama', 'Comedy', 'Drama']","['Estrella Productions', 'France 3 Cinéma', 'Auvergne Rhône-Alpes Cinéma']",0,0,0
tt11252440,Psycho Goreman,2020,6.3,16K,1500000.0,95384.0,95182.0,40366.0,"['Dark Comedy', 'Splatter Horror', 'Supernatural Horror', 'Comedy', 'Horror', 'Sci-Fi']","['Dystopia Films', 'Raven Banner Entertainment']",0,4,0
tt5259822,Tesla,2020,5.1,11K,5000000.0,459051.0,93147.0,42165.0,"['Biography', 'Drama']","['Millennium Media', 'Millennium Media', 'Passage Pictures (II)']",0,0,0
tt11655202,Riders of Justice,2020,7.5,68K,5300000.0,2001176.0,77115.0,15441.0,"['Dark Comedy', 'One-Person Army Action', 'Action', 'Comedy', 'Drama', 'Thriller']","['Zentropa Entertainments', 'Film i Väst', 'Zentropa International Sweden']",0,34,0
tt10457128,Summer of 85,2020,6.9,14K,6138000.0,3610818.0,71788.0,9390.0,"['Teen Drama', 'Teen Romance', 'Tragedy', 'Drama', 'Romance']","['Mandarin Films', 'FOZ', 'France 2 Cinéma']",0,27,0
tt9467994,Salvatore: Shoemaker of Dreams,2020,6.6,285,2000000.0,150901.0,65970.0,6091.0,['Documentary'],"['Frenesy Film Company', 'MeMo Films']",0,0,0
tt10554232,Dara of Jasenovac,2020,8.1,82K,3600000.0,52786.0,52786.0,16710.0,"['Drama', 'War']","['Dandelion Production Inc', 'Film Danas', 'Komuna']",0,0,0
tt8042004,Killer Raccoons! 2! Dark Christmas in the Dark!,2020,4.2,182,50000.0,48591.0,48591.0,3472.0,['Comedy'],"['Overbites Pictures', 'Studio Vista']",0,0,0
tt8526344,Juvenile Delinquents,2020,6.3,111,1000000.0,39455.0,34292.0,1890.0,['Drama'],['Big Bull Productions'],0,2,0
tt9288726,Mama Weed,2020,6.3,3.7K,5800000.0,5461144.0,29151.0,8891.0,"['Comedy', 'Crime', 'Drama']","['Les Films du Lendemain', 'La Boétie Films', 'Le Pacte']",0,0,0
tt10375106,Mandibles,2020,6.6,6.8K,4900000.0,2044742.0,19913.0,7346.0,"['Dark Comedy', 'Comedy', 'Fantasy']","['Chi-Fou-Mi Productions', 'Memento Films Production', 'C8 Films']",0,4,0
tt11905962,Sputnik,2020,6.4,28K,190000000.0,354023.0,18853.0,11024.0,"['Monster Horror', 'Space Sci-Fi', 'Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']","['Art Pictures Studio', 'Hype Film', 'Vodorod']",0,16,0
tt9283920,The Rescue,2020,6.0,1.1K,86500000.0,64237554.0,18797.0,9674.0,"['Action', 'Comedy', 'Drama', 'Thriller']","['China Modern Film and Television Development', 'Film Fireworks', 'Mokexing Film']",0,0,0
tt9526784,Never Gonna Snow Again,2020,6.4,2.8K,4000000.0,167977.0,15901.0,2828.0,"['Dark Comedy', 'Satire', 'Comedy', 'Drama', 'Mystery']","['Lava Films', 'The Match Factory', 'Maziowiecki Fundusz Filmowy']",0,23,0
tt8203706,American Deep State,2020,7.7,588,5000000.0,15269.0,15269.0,15269.0,['Documentary'],['Strasson Group'],0,0,0
